id,gibberish_text,mys_number,encoded_message,perplexing_date,arcane_boolean,inscrutable_float,enigma_code,riddle_text
145,concern,4139802076,d27b99e4cfe05097696252bcfb886bab24e338b84c6c1efe9d377fdc8fed40d9,"2002-11-21 13:39:21",1,76.02,TT-3290-TwTu,"Pass federal sometimes word serve yard."
146,behind,3996391078,6e01616fd561365a107b35fb08db0b1f17b9bd7624a5d31ff7fca73ae3272abf,"1983-12-18 20:03:43",0,56.07,or-9354-OLYY,"Worker piece us high effort before item."
147,amount,3950012016,e4ede58c6a924015f4600f6de615d1959c3b8277fe27421a86504d0184a67b84,"1981-09-22 06:48:42",1,30.07,Wl-8480-RDEU,"Story general fear important coach truth charge education."
148,believe,6196992002,110b97c2cfaba807fac951906bd655dac33e9d10116ab9c7b3d4def8f8046e6a,"1977-04-14 17:17:18",0,15.06,UU-8924-qfFT,"Right rock cover him cover."
149,compare,8499962745,9160875e97f42a93676cb9347e6cc72b511be36c4dd58f0f8a32256c7c09a68f,"1976-12-01 02:22:46",1,74.03,Mx-6765-Ryrl,"Government body appear talk hit."
150,want,5176344666,c976f6e071e13a905fd4a45e61b17ad8a09a7091ab978d8b62eba14e08ddec04,"2017-12-31 22:46:11",0,25.06,jX-5315-bFMc,"Tv current put quickly."
151,large,6500911286,ecb40884d943392d7bcf898255162855e53c0a7bb3c0a3cc73c011d25f0d47c3,"2012-05-27 00:35:20",1,44.05,lN-4643-Gfkg,"Truth couple many."
152,base,1941418295,9f69ee78605e3f65e6978aa85218da3f8580478bebd8d005e159635ad23010a6,"2014-04-28 14:18:09",1,53.02,zr-0976-RvDu,"Technology weight industry person clearly."
153,sing,4358860316,16cda5ef867b9d3975fcdf4514001181632e445f226596a2e8053149f22d1283,"2013-12-09 19:23:00",0,25.09,va-9752-IoYP,"Drive certainly teach talk very."
154,painting,5358244721,02ec9769078fe1bce7fd819d9aa69e182a176ecb77cd7e4e742885ce0184fdfc,"2016-11-04 18:56:26",0,28.02,ZZ-3650-qHlN,"Bed wait bank."
155,window,6523099918,5f009938d924b6be6ef41f250f6492a8be22d476f30b61953288df09168ca941,"1976-06-26 07:49:38",1,48.09,ik-4799-VHei,"Bring student pick."
156,yet,7857730464,bd727a7c5015fb1372b3dd4646fec456c57068b1667c745c9a6a49c7bf74182b,"1972-05-18 16:42:05",0,38.01,Bw-4804-tJra,"Toward really remember party particular agent."
157,list,7022872426,f199c5ed5e83fca3a26686c7e7614906689b7b06223889f1d29b1686a0f69d1b,"2008-01-04 10:52:47",0,29.05,Xo-6024-vxBs,"Door consumer former."
158,conference,2980364975,fb9900b9c3dcb710126d1f7b2fdad7aa25c0001d9c86d233a149eb0a17aa1eb6,"2020-02-22 16:55:39",1,38.09,Gz-5639-wSjJ,"Walk bag newspaper resource."
159,realize,4880460777,77110dad20e170103cd2e795ecffed4bfabd2091df0cd1032ff118f89e8f1a72,"1975-11-04 23:05:18",0,80.03,qP-2616-TIBs,"There pressure hundred item maintain attack."
160,standard,9794713256,ea99da723e416838012e6299fae8e6b7ca9170886386fa2557fa3e0fee31c2aa,"2019-06-25 14:42:49",0,78.01,CM-5727-UrpV,"Ability factor cup."
161,compare,4284607470,14ec3702f46c6c3a080825920e5ec5ca739b533f29370be706aa08d0c213a9cf,"1994-04-04 05:25:42",1,71.08,do-1180-luFr,"Fall media investment hand make machine else."
162,crime,5483961913,ca9128196253266b54d5386d0ba7c236d61c6e58a01c5693396ee1ac4f5f812c,"1971-08-01 08:35:22",1,71.07,uv-9152-opAM,"Military military mean success to maybe most."
163,while,6582564437,9e937f6e392e386d82c4fe56944ddf3384196d2f97512e78d61e6d4c7d7355e2,"2014-06-25 00:11:33",1,56.03,px-4082-PJXx,"Eight center stand company."
164,science,6695640846,cb7f39a9719fb0f498a84efc219bc65d9b4403441e708aabcc6daec02efb7e03,"1978-09-29 06:16:34",0,39.01,tS-2981-kiEB,"Change positive southern career president occur stock mouth."
165,worry,2007652769,c6468b0da2028ff8ffbba0862986540cfcd712cd280e57b3269aadada9215153,"2014-02-23 04:17:00",1,82.06,nU-6638-qaXC,"Design item agreement doctor imagine training quickly."
166,certain,3038520062,00e7ba22e54f3f401a7e01820958da2293eba8effbfac9bf0d9d4ae69b97dc69,"2001-01-20 09:45:33",0,37.06,Hr-8404-thqZ,"Item task wrong he give."
167,entire,8336168276,617f2a969c5577a3bab26462d38a60cd70438f43783d05d03f43f049f140c38a,"1989-01-24 23:25:19",0,40.07,Yk-6232-dCZe,"Tonight already however wall look them like."
168,up,1566472277,6c8de2bb51fe1adfc7a970b47392c52be192f8decb5192f40a0b9edaf22f725b,"2014-11-24 09:28:56",1,46.06,ru-6569-jsRV,"Response future in half later skill."
169,when,6917590996,92e71ce74dd9b0e2c0bdf085581fad9a2c4b9b45606158eecbbf784a9107bf3d,"1984-05-29 14:51:44",0,96.04,yL-2565-Hnxc,"Learn live enter door your both together rock."
170,thank,2551680477,be5cbc887ab7c89cd80cd67730edc5c2610ade032fa33ab149fcf1a19d8c6c05,"1986-05-09 19:12:36",0,29.04,TQ-6966-vOXo,"Hand base should word difficult along pick."
171,staff,6750867915,e976df17500d151464b4594a25f9f8ac0fd268a33a16c049f4dd516149c39599,"1979-07-18 08:43:22",1,18.05,Oh-8935-rsnu,"Central case long individual space big."
172,appear,5827782431,8dd2916fef0b439e5f4ea62339cb99c5f078a04457b89fc221c81ddc6160d030,"2012-05-28 05:12:55",1,65.04,OG-2924-TSnN,"Discuss many ahead treat yard walk game."
173,oil,5156555403,f963af66c7eedc3ec26ab69d765a8d3123ff05954ad3835a4028cd628367bb1b,"1974-01-05 03:39:32",1,14.03,Pc-3788-meSi,"Own mother join back."
174,beat,9759847547,026f8a1b92523b617ec6dad4e573340a70feaeaaeb2c284bc44077c9269acf72,"2021-11-13 11:58:33",1,45.01,xO-0692-KQXE,"Difficult game popular."
175,building,8834410086,21d9719f1bac37e1e80b5591e0fbab9a677bcc224bbced1fffbdfeafac2057a1,"2018-11-02 22:44:47",0,81.04,vu-6906-cWoD,"Affect form major fall friend reduce its person."
176,test,4728775397,652cb6468d23e6061ff42e035fc5d2fa7e589ea660f9cd2346c6064add815b3d,"2003-03-09 03:54:28",0,15.03,qx-3713-FGvH,"Process list wonder."
177,training,5156058716,c59de8fb1ef4cd908963c6f9358540c937aedd054d3abce206c505770bdd6856,"2010-09-14 22:41:47",1,21.08,zf-8446-zfvZ,"Present then scientist single."
178,lose,4833080558,74bc417f77f6b7e3927dbe17fddd0437eb39913c3878334e08799ba9fb862e19,"1979-06-11 04:05:17",1,25.09,yJ-1845-SAvb,"Boy federal along with soldier wall."
179,material,8300485540,cc3b99a53d2b47fae6a2f8d7eaf68483b288ce9f5bb1d1ca680a00ea0cb515b7,"2010-09-26 06:40:46",0,64.01,gN-9012-dEqA,"Service machine rock."
180,wrong,1998455664,e133f2d9a4a86fad793ae3c779387a9155c989eed41b14780083d702b506a8e8,"1971-01-22 06:12:56",0,24.09,UW-7873-QYcY,"White training season according page help whatever."
181,low,3588698591,dc1f5e3e595d0dd10cf2c4072303d3308801eedff3079aea12e753fa5ebcf9b7,"1982-09-16 09:34:52",1,29.09,SY-8045-GApJ,"Customer argue draw half human however."
182,important,6500472641,607c37793d302542b463d15b3d79c3593b43dcd29e37c1e0a176b2f88b99ef5d,"2012-08-11 05:04:38",0,90.02,Kz-9029-jdJX,"Record up how certainly space."
183,none,8513751099,f66a9e4a56947e0211427b1c13a1cbc7604b8ba85fe0b68e850ad53120581815,"1999-03-04 23:46:53",0,47.06,SI-0763-QORD,"Brother partner seek with guess."
184,coach,2557951607,88c9d20025337273568395cc170adbad6ef506f626812f3f3a4f1a26e675aa0e,"1979-02-08 17:37:54",1,49.08,Bz-6303-jhGx,"Poor beyond single require who chance should."
185,throughout,5228891194,ea812ca0582246535e2281afcd08ae812478d7e2a85ea81dc5d80dac0a0390d6,"1984-07-24 00:16:42",1,81.04,Qo-7708-elUM,"Edge front read."
186,show,5930212426,16a1f9218b3d4a7341f2c6f76b649720fd89054d7a63b0f598ae40782a1b08d8,"1987-05-05 13:27:01",1,35.08,UR-7748-uwhb,"Little magazine yard financial enjoy."
187,later,4263125776,9df8200ac55a365a3392218de7fad1cc49866355de0cdc4cd3a972ea241550a3,"1986-07-12 15:08:57",0,99.07,FD-8998-aUkn,"Deal nothing society teach know his."
188,say,2655289982,14bff4aaeaec11cb190ec5c168e585ed322196a9b10dd55cea97b2ba031b202e,"1980-04-15 13:46:12",0,45.01,ny-6451-WYac,"Bad condition significant."
189,fill,4053112835,fb5e04b4e42cdd5902ac4af429b90c00d413c0fe9fced8099fdd92c1e628fff3,"2003-02-16 13:06:15",0,15.05,QG-0209-rkbj,"Generation community range worker service control know pressure."
190,source,1401303567,eb5693377738fa9ffdbbfb0f98a67f205188f5d29f08a0a957b6097bc9a4ad4e,"1977-05-22 23:31:07",0,87.01,Gq-3753-pHPN,"Also TV green."
191,know,8186154428,19e3f96b35944bf43dc8c66fa5e5aaab8373d7717d12df10aaa3f5f7eae441d4,"2017-04-10 14:52:17",1,32.09,pC-8897-BMFJ,"Want coach democratic laugh where several chair."
192,maintain,7407087647,d84e463c3ae929992cde6383870431f50a971565ac50eb34e98585904a29d11f,"2020-11-24 02:28:44",0,14.09,sP-0560-OzLO,"Meeting skill or page claim available."
193,check,8967577202,2d0afcb06fdc920b2501b17b8f78460d3ddde7ddb3d9b2b00ea1101f93ba99a1,"1997-02-14 17:06:49",1,52.08,rd-1008-RpwT,"Debate I suffer brother note."
194,return,9850182552,0ac5f0671a2530f2937dfc8256f3db7f2ed1553540d1088d64bd0cc59192a22e,"1983-04-26 14:45:11",1,53.06,KJ-6901-CHpA,"Provide type address put."
195,high,9269401959,a2003fa9c76360aa47e72fe7dd4cba09d714e49f76b7bf4cf8507827f5effe52,"1976-04-11 03:40:08",1,13.07,ov-8580-axQI,"Argue finally address join low recently."
196,carry,2872219625,4c631e5dc5c997e15562abbbe9f1f2cb6b790171d5fe6883618f8a8404ae14d5,"2013-01-04 22:40:28",0,47.05,bf-7236-eVUl,"Hair guy imagine method."
197,everybody,1860533477,eccc0421b90f701b36d0fda3a2a2567d84963e9081a1814f31bcc073d7fac52f,"2020-04-25 17:10:40",1,14.05,GW-1354-pibS,"Out specific reveal."
198,company,7486672404,c78607f9b716cd545aabe7282e82ae1c6dfcf92350c805160bff595a01c47c59,"1981-07-10 12:17:40",1,88.09,OW-7163-feVN,"Answer company amount magazine green protect approach."
199,though,5377941245,26a5764cfad80360e3f5e35d3f76734657ceafde7752c815115f8febdc63e89c,"2014-01-15 23:33:56",0,91.03,vh-9421-NxRa,"Work present phone matter radio probably."
200,campaign,5541375404,19ffafa88b173c39b09140a92391c2c122148d58e5d9b53d8f9ff72d667f4fe1,"1983-03-18 19:47:10",0,65.02,dl-0274-soVD,"Likely experience ever expect treatment."
